URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
https://www.thegoodscentscompany.com/data/rw1001852.html,ethyl acetoacetate,acetoacetic ester,ethyl 3-oxobutanoate,141-97-9,130.14330000,C6 H10 O3,colorless to yellow clear liquid (est),99.00 to 100.00,1.02200 to 1.02710 @  25.00 °C.,1.41800 to 1.42100 @  20.00 °C.,-45.40 to  -44.00 °C. @  760.00 mm Hg,"180.00 to  181.00 °C. @  760.00 mm Hg, 100.00 to  101.00 °C. @   50.00 mm Hg",184.00 °F. TCC (   84.44 °C. ),fruity,medium,at 100.00 %.,fresh fruity green apple fatty,"Luebke, William  tgsc, (1994)","alcohol; isopropyl myristate; most organic solvents; water, 110000 mg/L @ 17C (exp)",paraffin oil; water
https://www.thegoodscentscompany.com/data/rw1004771.html,ethyl benzoate,"benzoic acid, ethyl ester",ethyl benzoate,93-89-0,150.17710000,C9 H10 O2,colorless clear liquid (est),98.00 to 100.00,1.04310 to 1.04600 @  25.00 °C.,1.50200 to 1.50600 @  20.00 °C.,-35.00 to  -34.00 °C. @  760.00 mm Hg,"212.00 to  214.00 °C. @  760.00 mm Hg, 95.00 to   96.00 °C. @   15.00 mm Hg",190.00 °F. TCC (   87.78 °C. ),minty,medium,at 100.00 %.,fruity dry musty sweet wintergreen,"Luebke, William  tgsc, (1994)","alcohol; fixed oils; propylene glycol; water, 720 mg/L @ 25 °C (exp)",glycerin
https://www.thegoodscentscompany.com/data/rw1004792.html,ethyl butyrate,"butanoic acid, ethyl ester",ethyl butanoate,105-54-4,116.16004000,C6 H12 O2,colorless clear liquid (est),99.00 to 100.00,0.87500 to 0.88300 @  20.00 °C.,1.39000 to 1.39400 @  20.00 °C.,-101.00 to  -93.00 °C. @  760.00 mm Hg,"120.00 to  121.00 °C. @  760.00 mm Hg, 47.00 to   48.00 °C. @   50.00 mm Hg",77.00 °F. TCC (   25.00 °C. ),fruity,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in propylene glycol.,fruity juicy fruit pineapple cognac,"Luebke, William  tgsc, (1985)","fixed oils; kerosene; paraffin oil; propylene glycol; water, 4900 mg/L @ 20 °C (exp)",glycerin
https://www.thegoodscentscompany.com/data/rw1014812.html,ethyl cinnamate,ethyl 3-phenyl-2-propenoate,ethyl 3-phenylprop-2-enoate,103-36-6,176.21504000,C11 H12 O2,colorless clear oily liquid (est),99.00 to 100.00,1.04500 to 1.04800 @  25.00 °C.,1.55900 to 1.56100 @  20.00 °C.,6.00 to    7.50 °C. @  760.00 mm Hg,"271.00 to  272.00 °C. @  760.00 mm Hg, 158.00 to  159.00 °C. @   24.00 mm Hg",> 230.00 °F. TCC ( > 110.00 °C. ),balsamic,medium,at 100.00 %.,sweet balsam fruity spicy powdery berry plum,"Luebke, William  tgsc, (1982)","alcohol; fixed oils; water, 160.6 mg/L @ 25 °C (est)",water; glycerin
https://www.thegoodscentscompany.com/data/rw1015411.html,ethyl decanoate,ethyl caprate,ethyl decanoate,110-38-3,200.32168000,C12 H24 O2,colorless clear liquid (est),98.00 to 100.00,0.86300 to 0.86800 @  25.00 °C.,1.42400 to 1.42700 @  20.00 °C.,-20.00 °C. @  760.00 mm Hg,"241.00 to  245.00 °C. @  760.00 mm Hg, 118.00 to  121.00 °C. @   15.00 mm Hg",216.00 °F. TCC (  102.22 °C. ),waxy,medium,at 100.00 %.,sweet waxy fruity apple grape oily brandy,"Luebke, William  tgsc, (1987)","alcohol; fixed oils; water, 3.517 mg/L @ 25 °C (est); water, 15.9 mg/L @ 25 °C (exp)",glycerin; propylene glycol
https://www.thegoodscentscompany.com/data/rw1009171.html,ethyl heptanoate,ethyl capronate,ethyl heptanoate,106-30-9,158.24086000,C9 H18 O2,colorless clear liquid (est),98.00 to 100.00,0.86700 to 0.87200 @  25.00 °C.,1.41100 to 1.41500 @  20.00 °C.,-66.00 °C. @  760.00 mm Hg,188.00 to  189.00 °C. @  760.00 mm Hg,151.00 °F. TCC (   66.11 °C. ),fruity,medium,at 100.00 %.,fruity pineapple cognac rum wine,"Luebke, William  tgsc, (1983)","fixed oils; paraffin oil; water, 290 mg/L @ 25 °C (exp)",water; glycerin
https://www.thegoodscentscompany.com/data/rw1004811.html,ethyl hexanoate,ethyl caproate,ethyl hexanoate,123-66-0,144.21392000,C8 H16 O2,colorless clear liquid (est),98.00 to 100.00,0.86000 to 0.86500 @  25.00 °C.,1.53000 to 1.53400 @  20.00 °C.,-68.00 to  -67.00 °C. @  760.00 mm Hg,166.00 to  168.00 °C. @  760.00 mm Hg,121.00 °F. TCC (   49.44 °C. ),fruity,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,sweet fruity pineapple waxy green banana,"Luebke, William  tgsc, (1990)","alcohol; fixed oils; water, 308.7 mg/L @ 25 °C (est); propylene glycol; water, 629 mg/L @ 25 °C (exp)",glycerin
https://www.thegoodscentscompany.com/data/rw1000751.html,ethyl isobutyrate,"isobutyric acid, ethyl ester",ethyl 2-methylpropanoate,97-62-1,116.16004000,C6 H12 O2,colorless clear liquid (est),98.00 to 100.00,0.86200 to 0.86800 @  25.00 °C.,1.38500 to 1.39100 @  20.00 °C.,-88.00 to  -87.00 °C. @  760.00 mm Hg,"112.00 to  113.00 °C. @  760.00 mm Hg, 40.00 to   41.00 °C. @   50.00 mm Hg",57.00 °F. TCC (   13.89 °C. ),fruity,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,sweet ethereal fruity alcoholic fusel rummy,,"alcohol; water, 3172 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1032431.html,ethyl lactate,"propanoic acid, 2-hydroxy-, ethyl ester",ethyl 2-hydroxypropanoate,97-64-3,118.13230000,C5 H10 O3,colorless clear liquid (est),97.00 to 100.00,1.02900 to 1.03700 @  25.00 °C.,1.40800 to 1.42200 @  20.00 °C.,-26.00 °C. @  760.00 mm Hg,154.00 °C. @  760.00 mm Hg,120.00 °F. TCC (   48.89 °C. ),fruity,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in propylene glycol.,sharp tart fruity buttery butterscotch,"Luebke, William  tgsc, (1985)","alcohol; isopropyl myristate; water, 4.728e+005 mg/L @ 25 °C (est); ether; chloroform; water, 1.00E+06 mg/L @ 20 °C (exp)",paraffin oil
https://www.thegoodscentscompany.com/data/rw1012432.html,ethyl laurate,ethyl dodecanoate,ethyl dodecanoate,106-33-2,228.37556000,C14 H28 O2,colorless clear oily liquid (est),98.00 to 100.00,0.85800 to 0.86200 @  25.00 °C.,1.43000 to 1.43400 @  20.00 °C.,-12.00 to  -10.00 °C. @  760.00 mm Hg,"269.00 to  271.00 °C. @  760.00 mm Hg, 141.00 to  142.00 °C. @    8.00 mm Hg",212.00 °F. TCC (  100.00 °C. ),waxy,medium,at 100.00 %.,sweet waxy floral soapy clean,"Luebke, William  tgsc, (1987)","alcohol; water, 0.4128 mg/L @ 25 °C (est)",water
